10000,,,,,,,,,,,,,,,,,,,,,,,
No.,Channel Reserved,,Dropped Call,,Blocked Call,Channel Reserved,,Dropped Call,,Blocked Call,,,,,,,,,,,,,
0,0,0.0052,52,0.003,30,1,0.0029,29,0.0103,103,37.7294,,,,,,,,,,,,
1,0,0.0067,67,0.005,50,1,0.0038,38,0.0121,121,61.3324,,,,Scheme,average No. of dropped call,average No. of blocked call,standard deviation of No. of dropped call,standard deviation of No. of blocked call,average % of dropped call rate,average % of blocked call rate,"standard
deviation
% Drop Call
Rate","standard
deviation
% Block Call
Rate"
161,0,0.0056,56,0.0031,31,1,0.0034,34,0.0115,115,,,,,,,,,,,,,
162,0,0.0062,62,0.0029,29,1,0.0037,37,0.011,110,,,,,,,,,,,,,
163,0,0.0054,54,0.0037,37,1,0.0031,31,0.0111,111,,,,,,,,,,,,,
164,0,0.0049,49,0.003,30,1,0.0026,26,0.0104,104,,,,,,,,,,,,,
165,0,0.007,70,0.0039,39,1,0.0033,33,0.0121,121,,,,,,,,,,,,,
166,0,0.0059,59,0.0034,34,1,0.0028,28,0.0116,116,,,,,,,,,,,,,
167,0,0.0055,55,0.0038,38,1,0.0035,35,0.0106,106,,,,,,,,,,,,,
168,0,0.0057,57,0.0041,41,1,0.0027,27,0.0114,114,,,,,,,,,,,,,
169,0,0.0065,65,0.0032,32,1,0.0042,42,0.0117,117,,,,,,,,,,,,,
170,0,0.0056,56,0.0041,41,1,0.0023,23,0.0137,137,,,,,,,,,,,,,
171,0,0.007,70,0.0048,48,1,0.003,30,0.0129,129,,,,,,,,,,,,,
172,0,0.0068,68,0.0049,49,1,0.0036,36,0.014,140,,,,,,,,,,,,,
173,0,0.0045,45,0.0045,45,1,0.002,20,0.0122,122,,,,,,,,,,,,,
174,0,0.0073,73,0.0048,48,1,0.0034,34,0.0138,138,,,,,,,,,,,,,
175,0,0.0064,64,0.0049,49,1,0.0037,37,0.0141,141,,,,,,,,,,,,,
176,0,0.0068,68,0.0045,45,1,0.0037,37,0.0128,128,,,,,,,,,,,,,
177,0,0.0056,56,0.0035,35,1,0.0029,29,0.0106,106,,,,,,,,,,,,,
178,0,0.0032,32,0.0031,31,1,0.0022,22,0.0103,103,,,,,,,,,,,,,
179,0,0.0055,55,0.0023,23,1,0.0021,21,0.0107,107,,,,,,,,,,,,,
180,0,0.0092,92,0.0035,35,1,0.0047,47,0.0128,128,,,,,,,,,,,,,
181,0,0.0054,54,0.0029,29,1,0.003,30,0.0102,102,,,,,,,,,,,,,
182,0,0.0065,65,0.0045,45,1,0.0032,32,0.0134,134,,,,,,,,,,,,,
183,0,0.0059,59,0.0032,32,1,0.0026,26,0.0118,118,,,,,,,,,,,,,
184,0,0.0066,66,0.0044,44,1,0.0033,33,0.013,130,,,,,,,,,,,,,
185,0,0.0083,83,0.0035,35,1,0.0054,54,0.0106,106,,,,,,,,,,,,,
186,0,0.0052,52,0.0024,24,1,0.0028,28,0.0095,95,,,,,,,,,,,,,
187,0,0.0078,78,0.0051,51,1,0.0036,36,0.0147,147,,,,,,,,,,,,,
188,0,0.0064,64,0.0043,43,1,0.0039,39,0.0128,128,,,,,,,,,,,,,
189,0,0.006,60,0.0042,42,1,0.0027,27,0.0134,134,,,,,,,,,,,,,
190,0,0.0054,54,0.0043,43,1,0.0026,26,0.0125,125,,,,,,,,,,,,,
191,0,0.0081,81,0.0044,44,1,0.0034,34,0.0136,136,,,,,,,,,,,,,
192,0,0.0046,46,0.0028,28,1,0.0022,22,0.0095,95,,,,,,,,,,,,,
193,0,0.0052,52,0.0033,33,1,0.0035,35,0.0109,109,,,,,,,,,,,,,
194,0,0.0054,54,0.0051,51,1,0.0028,28,0.013,130,,,,,,,,,,,,,
195,0,0.0062,62,0.0047,47,1,0.0027,27,0.0128,128,,,,,,,,,,,,,
196,0,0.0068,68,0.0033,33,1,0.0035,35,0.0114,114,,,,,,,,,,,,,
197,0,0.0055,55,0.0037,37,1,0.0027,27,0.0112,112,,,,,,,,,,,,,
198,0,0.0062,62,0.0034,34,1,0.0028,28,0.0121,121,,,,,,,,,,,,,
199,0,0.0076,76,0.0035,35,1,0.0035,35,0.0129,129,,,,,,,,,,,,,
200,0,0.0052,52,0.0038,38,1,0.0029,29,0.0108,108,,,,,,,,,,,,,
201,0,0.0066,66,0.0046,46,1,0.0035,35,0.0123,123,,,,,,,,,,,,,
202,0,0.0059,59,0.0037,37,1,0.0036,36,0.011,110,,,,,,,,,,,,,
203,0,0.006,60,0.0038,38,1,0.0033,33,0.0111,111,,,,,,,,,,,,,
204,0,0.0055,55,0.0028,28,1,0.0031,31,0.0105,105,,,,,,,,,,,,,
205,0,0.0053,53,0.0031,31,1,0.0028,28,0.011,110,,,,,,,,,,,,,
206,0,0.0054,54,0.0045,45,1,0.0026,26,0.0133,133,,,,,,,,,,,,,
207,0,0.0061,61,0.0052,52,1,0.0031,31,0.0142,142,,,,,,,,,,,,,
208,0,0.0058,58,0.0043,43,1,0.0026,26,0.0118,118,,,,,,,,,,,,,
209,0,0.0059,59,0.0029,29,1,0.0033,33,0.0092,92,,,,,,,,,,,,,
210,0,0.006,60,0.0032,32,1,0.0031,31,0.0103,103,,,,,,,,,,,,,
211,0,0.0058,58,0.0036,36,1,0.0028,28,0.0122,122,,,,,,,,,,,,,
212,0,0.0049,49,0.004,40,1,0.0027,27,0.0117,117,,,,,,,,,,,,,
213,0,0.0078,78,0.0057,57,1,0.0048,48,0.0148,148,,,,,,,,,,,,,
214,0,0.0064,64,0.0048,48,1,0.0026,26,0.0128,128,,,,,,,,,,,,,
215,0,0.0045,45,0.0026,26,1,0.0023,23,0.0093,93,,,,,,,,,,,,,
216,0,0.0055,55,0.0039,39,1,0.0027,27,0.0126,126,,,,,,,,,,,,,
217,0,0.0081,81,0.006,60,1,0.005,50,0.0155,155,,,,,,,,,,,,,
218,0,0.0061,61,0.0035,35,1,0.0033,33,0.011,110,,,,,,,,,,,,,
219,0,0.0066,66,0.0047,47,1,0.0037,37,0.0119,119,,,,,,,,,,,,,
220,0,0.006,60,0.0044,44,1,0.0033,33,0.0123,123,,,,,,,,,,,,,
221,0,0.0084,84,0.004,40,1,0.0037,37,0.0134,134,,,,,,,,,,,,,
222,0,0.0047,47,0.0031,31,1,0.0025,25,0.0109,109,,,,,,,,,,,,,
223,0,0.0062,62,0.0043,43,1,0.0033,33,0.0129,129,,,,,,,,,,,,,
224,0,0.0055,55,0.0042,42,1,0.0029,29,0.0117,117,,,,,,,,,,,,,
225,0,0.006,60,0.0048,48,1,0.0034,34,0.0125,125,,,,,,,,,,,,,
226,0,0.005,50,0.0028,28,1,0.0027,27,0.0099,99,,,,,,,,,,,,,
227,0,0.0061,61,0.0037,37,1,0.0038,38,0.0116,116,,,,,,,,,,,,,
228,0,0.0069,69,0.0041,41,1,0.0043,43,0.0113,113,,,,,,,,,,,,,
229,0,0.0102,102,0.0048,48,1,0.0056,56,0.0161,161,,,,,,,,,,,,,
230,0,0.0054,54,0.0036,36,1,0.0027,27,0.0116,116,,,,,,,,,,,,,
231,0,0.0066,66,0.0046,46,1,0.0034,34,0.0138,138,,,,,,,,,,,,,
232,0,0.0055,55,0.003,30,1,0.0026,26,0.0095,95,,,,,,,,,,,,,
233,0,0.0056,56,0.0035,35,1,0.0035,35,0.0118,118,,,,,,,,,,,,,
234,0,0.0063,63,0.0043,43,1,0.0039,39,0.0121,121,,,,,,,,,,,,,
